InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SessionID,Stage,Year,Month
Browse_6226,P00068,Yellow Water Bottle XS,4,2022-09-28,41.09,C00000,France,S20220928_C00000_9208,Browse,2022,9
View_4192,P00060,Purple Smart Watch M,2,2022-10-06,161.73,C00000,France,S20221006_C00000_9939,View,2022,10
Browse_6797,P00076,Blue Wireless Earbuds XXL,5,2022-10-29,25.84,C00000,France,S20221029_C00000_6998,Browse,2022,10
View_569,P00049,Orange Smart Watch L,5,2022-12-23,29.67,C00000,France,S20221223_C00000_4555,View,2022,12
Browse_9271,P00051,Yellow Water Bottle XXL,1,2022-12-23,165.82,C00000,France,S20221223_C00000_3522,Browse,2022,12
Checkout_1495,P00021,Pink Sunglasses XS,5,2022-12-24,149.58,C00000,France,S20221224_C00000_3000,Checkout,2022,12
Checkout_6144,P00066,Purple Protein Powder L,3,2022-12-30,80.81,C00000,France,S20221230_C00000_1087,Checkout,2022,12
View_4727,P00093,Purple Yoga Mat XXL,3,2023-03-17,182.72,C00000,France,S20230317_C00000_2632,View,2023,3
View_746,P00082,Green Protein Powder One Size,5,2023-05-23,36.43,C00000,France,S20230523_C00000_2782,View,2023,5
Browse_2689,P00056,Orange Wireless Earbuds One Size,4,2023-05-25,168.47,C00000,France,S20230525_C00000_3129,Browse,2023,5
Browse_2051,P00084,Grey Laptop Sleeve XS,1,2022-02-25,8.99,C00001,UK,S20220225_C00001_4048,Browse,2022,2
View_8434,P00013,Black Leather Wallet M,4,2022-06-17,155.73,C00001,UK,S20220617_C00001_8428,View,2022,6
Browse_870,P00052,White Backpack S,4,2022-07-12,30.04,C00001,UK,S20220712_C00001_8196,Browse,2022,7
View_5988,P00052,White Backpack S,2,2022-08-30,30.04,C00001,UK,S20220830_C00001_4584,View,2022,8
Browse_7525,P00007,Pink Protein Powder XL,5,2022-10-01,124.82,C00001,UK,S20221001_C00001_4931,Browse,2022,10
Cart_7736,P00083,Orange Laptop Sleeve L,4,2022-10-20,26.77,C00001,UK,S20221020_C00001_6201,Cart,2022,10
View_9267,P00078,Purple Sunglasses XL,2,2022-11-06,130.04,C00001,UK,S20221106_C00001_5947,View,2022,11
Browse_6493,P00038,Red Cotton Socks L,2,2022-11-22,105.73,C00001,UK,S20221122_C00001_8977,Browse,2022,11
Checkout_6216,P00088,Green Smart Watch XL,3,2022-12-06,143.69,C00001,UK,S20221206_C00001_4208,Checkout,2022,12
Browse_4241,P00040,Grey Sunglasses One Size,5,2022-12-21,32.45,C00001,UK,S20221221_C00001_2577,Browse,2022,12
Browse_3537,P00014,Pink Classic Jeans L,1,2023-01-19,194.78,C00001,UK,S20230119_C00001_8699,Browse,2023,1
